interpolatedPhoneTimestamp,respeckTimestamp,sequenceNumber,x,y,z,breathingSignal,breathingRate,activityLevel,activityType
1539436348551,17378756148,23,-0.04345703,-1.0412598,-0.13085938,-0.14827098,NaN,0.22091071,0
1539436348616,17378756148,24,-0.18554688,-0.96191406,-0.03466797,-0.016873792,NaN,0.22091071,0
1539436348682,17378756148,25,-0.0769043,-0.9682617,-0.07128906,0.13984579,NaN,0.22091071,0
1539436348747,17378756148,26,-0.13793945,-0.99316406,-0.06689453,0.23857556,35.714287,0.22091071,0
1539436348812,17378756148,27,-0.09423828,-0.95214844,-0.068359375,0.39149845,NaN,0.22091071,0
1539436348878,17378756148,28,-0.12402344,-0.9794922,-0.068359375,0.52281284,NaN,0.22091071,0
1539436348943,17378756148,29,-0.12988281,-0.9736328,-0.046875,0.54081243,NaN,0.22091071,0
1539436349009,17378756148,30,-0.123291016,-0.9929199,-0.07714844,0.68709415,NaN,0.22091071,0
1539436349074,17378756148,31,-0.111328125,-0.97875977,-0.064208984,0.78503245,NaN,0.22091071,0
1539436349140,17378758577,0,-0.115478516,-0.982666,-0.09082031,0.8268993,NaN,0.22091071,0
1539436349220,17378758577,1,-0.13354492,-0.9736328,-0.05859375,0.909416,NaN,0.22091071,0
1539436349300,17378758577,2,-0.14794922,-0.97631836,-0.052978516,0.75955886,NaN,0.22091071,0
1539436349380,17378758577,3,-0.12011719,-0.9711914,-0.09692383,0.63861185,NaN,0.22091071,0
1539436349460,17378758577,4,-0.09790039,-0.9658203,-0.09106445,0.6096426,NaN,0.22091071,0
1539436349540,17378758577,5,-0.08496094,-0.96972656,-0.0625,0.54750836,NaN,0.22091071,0
1539436349620,17378758577,6,-0.095458984,-0.9736328,-0.05908203,0.4792955,NaN,0.22091071,0
1539436349700,17378758577,7,-0.07104492,-0.97509766,-0.052734375,0.3878866,NaN,0.22091071,0
1539436349780,17378758577,8,-0.07714844,-0.9794922,-0.03955078,0.28678927,NaN,0.22091071,0
1539436349860,17378758577,9,-0.09838867,-0.9770508,-0.028808594,0.21786958,NaN,0.22091071,0
1539436349940,17378758577,10,-0.09399414,-0.98461914,-0.038330078,0.076559894,NaN,0.22091071,0
1539436350020,17378758577,11,-0.13378906,-0.9682617,-0.007080078,-0.037176397,NaN,0.22091071,0
1539436350100,17378758577,12,-0.14379883,-0.9797363,-0.006591797,-0.1647025,NaN,0.22091071,0
1539436350180,17378758577,13,-0.15844727,-0.9892578,-0.033935547,-0.26672348,NaN,0.22091071,0
1539436350260,17378758577,14,-0.12133789,-0.9458008,-0.037109375,-0.24656485,NaN,0.22091071,0
1539436350340,17378758577,15,-0.11621094,-1.0002441,-0.04638672,-0.29152653,NaN,0.22091071,0
1539436350420,17378758577,16,-0.14013672,-0.9506836,-0.080078125,-0.30562535,NaN,0.22091071,0
1539436350500,17378758577,17,-0.16479492,-0.9501953,-0.08520508,-0.25632486,NaN,0.22091071,0
1539436350580,17378758577,18,-0.17138672,-0.94970703,-0.09082031,-0.1883626,NaN,0.22091071,0
1539436350660,17378758577,19,-0.17480469,-0.94970703,-0.11669922,-0.08100765,NaN,0.22091071,0
1539436350740,17378758577,20,-0.23461914,-1.0515137,-0.10595703,0.053572487,NaN,0.22091071,0
1539436350820,17378758577,21,-0.17504883,-1.2692871,-0.039794922,0.084287375,NaN,0.23526861,9
1539436350900,17378758577,22,0.018798828,-0.9892578,0.12011719,NaN,NaN,0.37625152,9
1539436350980,17378758577,23,-0.010986328,-0.7902832,0.07763672,NaN,NaN,0.37625152,9
1539436351060,17378758577,24,-0.10644531,-1.0498047,0.045410156,NaN,NaN,0.37625152,9
1539436351140,17378758577,25,-0.05883789,-0.88012695,-0.047607422,NaN,NaN,0.37625152,9
1539436351220,17378758577,26,-0.0041503906,-0.87280273,-0.08496094,NaN,NaN,0.37625152,9
1539436351300,17378758577,27,-0.12548828,-0.87597656,-0.10571289,NaN,NaN,0.37625152,9
1539436351380,17378758577,28,-0.06665039,-0.9338379,-0.0021972656,NaN,NaN,0.37625152,9
1539436351460,17378758577,29,-0.15161133,-1.267334,-0.045898438,NaN,NaN,0.37625152,9
